angle_grades,axis_x_mm,axis_y_mm
0,0.0,0.0
3,1.3613568165555772,0.020476874376718968
6,2.7227136331111543,0.08174072249580888
9,4.084070449666731,0.18329133162976063
12,5.445427266222309,0.3242954091534216
15,6.806784082777886,0.5035872495691152
18,8.168140899333462,0.7196698201597016
21,9.52949771588904,0.970716425228396
24,10.890854532444617,1.2545731659339978
27,12.252211349000195,1.5687624776993943
30,13.613568165555773,1.9104881009646846
33,14.974924982111348,2.276641923782826
36,16.336281798666924,2.663813225324837
39,17.697638615222502,3.068300944962452
42,19.05899543177808,3.4861296970675966
45,20.420352248333657,3.9130703388100585
48,21.781709064889235,4.34466596515739
51,23.143065881444812,4.776264235964064
54,24.50442269800039,5.203056914371807
57,25.865779514555967,5.620127390393982
60,27.227136331111545,6.02250675405304
63,28.58849314766712,6.405238646833027
66,29.949849964222697,6.763452644436278
69,31.311206780778274,7.092445308471177
72,32.67256359733385,7.387767312116445
75,34.033920413889426,7.645314244933282
78,35.395277230445004,7.861417914233044
81,36.75663404700058,8.032934289124817
84,38.11799086355616,8.157323795283673
87,39.47934768011174,8.23271957226656
90,40.840704496667314,8.257979626587812
93,42.20206131322289,8.23271957226656
96,43.56341812977847,8.157323795283673
99,44.92477494633405,8.032934289124817
102,46.286131762889624,7.861417914233044
105,47.6474885794452,7.645314244933282
108,49.00884539600078,7.387767312116452
111,50.37020221255636,7.092445308471177
114,51.731559029111935,6.763452644436278
117,53.09291584566751,6.405238646833034
120,54.45427266222309,6.02250675405304
123,55.81562947877866,5.620127390393982
126,57.17698629533424,5.203056914371807
129,58.538343111889816,4.776264235964064
132,59.89969992844539,4.34466596515739
135,61.26105674500097,3.9130703388100585
138,62.62241356155655,3.4861296970675966
141,63.983770378112126,3.068300944962452
144,65.3451271946677,2.663813225324837
147,66.70648401122328,2.276641923782833
150,68.06784082777885,1.9104881009646846
153,69.42919764433444,1.5687624776993943
156,70.79055446089001,1.2545731659339978
159,72.15191127744559,0.970716425228396
162,73.51326809400116,0.7196698201597016
165,74.87462491055675,0.5035872495691152
168,76.23598172711232,0.3242954091534216
171,77.5973385436679,0.18329133162976063
174,78.95869536022347,0.08174072249580888
177,80.32005217677906,0.020476874376718968
180,81.68140899333463,0.0
183,83.04276580989021,0.020476874376718968
186,84.40412262644578,0.08174072249580888
189,85.76547944300137,0.18329133162976063
192,87.12683625955694,0.3242954091534216
195,88.48819307611251,0.5035872495691152
198,89.8495498926681,0.7196698201597016
201,91.21090670922366,0.970716425228396
204,92.57226352577925,1.2545731659339978
207,93.93362034233482,1.5687624776993943
210,95.2949771588904,1.9104881009646846
213,96.65633397544597,2.276641923782826
216,98.01769079200156,2.663813225324837
219,99.37904760855713,3.068300944962459
222,100.74040442511271,3.4861296970675966
225,102.10176124166829,3.9130703388100585
228,103.46311805822387,4.34466596515739
231,104.82447487477944,4.776264235964057
234,106.18583169133503,5.2030569143718
237,107.5471885078906,5.620127390393982
240,108.90854532444618,6.02250675405304
243,110.26990214100175,6.405238646833027
246,111.63125895755732,6.763452644436278
249,112.9926157741129,7.092445308471177
252,114.35397259066848,7.387767312116445
255,115.71532940722406,7.645314244933282
258,117.07668622377963,7.861417914233044
261,118.43804304033522,8.032934289124817
264,119.79939985689079,8.15732379528368
267,121.16075667344637,8.23271957226656
270,122.52211349000194,8.257979626587812
273,123.88347030655753,8.23271957226656
276,125.2448271231131,8.15732379528368
279,126.60618393966868,8.032934289124817
282,127.96754075622425,7.861417914233044
285,129.32889757277982,7.645314244933282
288,130.6902543893354,7.387767312116452
291,132.051611205891,7.092445308471177
294,133.41296802244656,6.763452644436278
297,134.77432483900213,6.405238646833034
300,136.1356816555577,6.02250675405304
303,137.4970384721133,5.620127390393982
306,138.85839528866887,5.203056914371807
309,140.21975210522444,4.776264235964064
312,141.58110892178001,4.344665965157397
315,142.9424657383356,3.9130703388100585
318,144.30382255489118,3.4861296970675966
321,145.66517937144675,3.068300944962459
324,147.02653618800232,2.663813225324837
327,148.38789300455792,2.276641923782826
330,149.7492498211135,1.9104881009646917
333,151.11060663766906,1.5687624776993943
336,152.47196345422464,1.2545731659339978
339,153.8333202707802,0.970716425228396
342,155.1946770873358,0.7196698201597016
345,156.55603390389138,0.5035872495691152
348,157.91739072044695,0.3242954091534216
351,159.27874753700252,0.18329133162976063
354,160.64010435355812,0.08174072249580888
357,162.00146117011369,0.020476874376718968
360,163.36281798666926,0.0
